face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.42767;0.304852;0.306415;0.931193;7.70005e-06;0.329935;0.930059;-0.00222355;0.34793;0.949346;-0.00888766;0.360132;0.967035;-0.0181555;0.369234;0.984023;-0.0294158;0.356244;0.978461;-0.0265581;0.367365;1.00838;-0.0452773;0.371572;1.03178;-0.055738;0.374992;1.05352;-0.062502;0.347335;0.98207;-0.0367567;0.360545;1.01382;-0.0572061;0.366468;1.03846;-0.0704721;0.371392;1.06194;-0.0810115;0.336695;0.9816;-0.0463522;0.348076;1.00797;-0.0655432;0.355473;1.02928;-0.0795433;0.36143;1.04922;-0.0906594;0.324899;0.976679;-0.0554234;0.332238;0.99407;-0.0730414;0.340043;1.00844;-0.0865171;0.346625;1.02333;-0.0972662
0.427644;0.304571;0.323079;0.94207;6.04965e-06;0.336292;0.938058;-0.0289059;0.347345;0.941848;-0.0518535;0.353675;0.952332;-0.0702115;0.358602;0.963953;-0.0891332;0.344996;0.963215;-0.0659441;0.351313;0.980172;-0.0907435;0.354332;0.988156;-0.101855;0.35708;0.992417;-0.109102;0.336093;0.968853;-0.0636896;0.33936;0.98749;-0.0936422;0.342623;0.995249;-0.112805;0.345555;0.999561;-0.130036;0.327216;0.970781;-0.0609117;0.328484;0.982748;-0.0889722;0.329452;0.987681;-0.102982;0.3292;0.991462;-0.113772;0.31953;0.969851;-0.0585767;0.31923;0.979653;-0.0787866;0.31896;0.982827;-0.0885696;0.317463;0.984608;-0.0979901;0.306438;0.863461;1.24657e-05;0.325367;0.877003;-0.00739903;0.335853;0.907976;-0.0185119;0.340344;0.938656;-0.0305799;0.340888;0.96651;-0.042402;0.354771;0.929199;-0.0372862;0.368221;0.952914;-0.0489279;0.371979;0.963582;-0.0478785;0.373061;0.974252;-0.0479769;0.352897;0.922651;-0.0445335;0.366174;0.945784;-0.0572902;0.364975;0.955238;-0.0584708;0.361965;0.964036;-0.0633898;0.347177;0.910396;-0.0507643;0.360044;0.929101;-0.0607991;0.357111;0.931798;-0.0628651;0.352203;0.937022;-0.0695878;0.339041;0.894607;-0.0578477;0.346568;0.910046;-0.070178;0.345208;0.914805;-0.0794914;0.341561;0.921718;-0.0896574
0.42743;0.304362;0.326244;0.940503;3.57036e-06;0.337229;0.946359;0.000467029;0.342078;0.952396;-0.00166764;0.344966;0.958175;-0.00278881;0.34669;0.962463;-0.00545882;0.33554;0.9646;-0.00812586;0.340613;0.978038;-0.00717547;0.341623;0.977042;-0.00392037;0.341404;0.973972;-0.000980836;0.330982;0.967642;-0.00734179;0.336606;0.981809;-0.0060053;0.337202;0.97981;-0.00158894;0.336825;0.976607;-0.000436587;0.327642;0.968557;-0.00549149;0.333524;0.980783;-0.00407481;0.334212;0.977694;-0.00139812;0.33319;0.973664;-0.00158003;0.32529;0.968342;-0.00356397;0.329803;0.977032;-0.00123328;0.330557;0.974709;0.000583972;0.329841;0.970923;0.000308878;0.327818;0.884332;1.2082e-05;0.321846;0.908922;-0.0189289;0.323121;0.922699;-0.0364174;0.328859;0.934417;-0.0509499;0.333774;0.943696;-0.0657404;0.326382;0.914807;-0.0467793;0.331414;0.923856;-0.0655685;0.335658;0.924431;-0.0748125;0.337443;0.922264;-0.080746;0.335726;0.904251;-0.0438771;0.341144;0.913157;-0.0625158;0.344508;0.910842;-0.069954;0.346147;0.90602;-0.0762314;0.343842;0.894482;-0.0400505;0.349783;0.902657;-0.0549055;0.353308;0.899849;-0.0584742;0.354351;0.895728;-0.0617848;0.35167;0.886181;-0.0378147;0.355857;0.891624;-0.0449735;0.359315;0.89044;-0.0479402;0.361634;0.888256;-0.0510359
0.418538;0.32358;0.263793;0.675563;2.58155e-05;0.283953;0.624051;-0.045703;0.306583;0.584452;-0.0903673;0.32392;0.550234;-0.130392;0.335651;0.521362;-0.174502;0.326144;0.607092;-0.128315;0.350066;0.594947;-0.19126;0.359489;0.577084;-0.241118;0.366962;0.562094;-0.275326;0.316627;0.633278;-0.127553;0.33997;0.638993;-0.194584;0.350186;0.632227;-0.241118;0.3568;0.627099;-0.274079;0.298914;0.660378;-0.124991;0.313708;0.685679;-0.179211;0.325474;0.69544;-0.219374;0.334375;0.699532;-0.246658;0.276943;0.688309;-0.122567;0.280743;0.715258;-0.159822;0.288502;0.729338;-0.185305;0.295593;0.739046;-0.20691
0.414859;0.314421;0.255202;0.663931;1.31488e-05;0.301874;0.616914;0.00211435;0.334868;0.577738;-0.0113129;0.358147;0.552185;-0.0262744;0.378686;0.528204;-0.0383904;0.318272;0.578833;-0.0697214;0.340629;0.585616;-0.101766;0.35005;0.564468;-0.117709;0.357041;0.54115;-0.128973;0.305595;0.597;-0.088758;0.327711;0.606473;-0.130004;0.339973;0.587255;-0.153482;0.349861;0.567911;-0.174343;0.290686;0.6208;-0.102084;0.311744;0.628161;-0.141743;0.322788;0.612741;-0.155703;0.329878;0.596212;-0.167839;0.27357;0.64852;-0.114219;0.286887;0.658507;-0.144599;0.292605;0.652179;-0.155069;0.293889;0.642749;-0.166094;0.288764;0.573899;1.4753e-05;0.323499;0.563397;-0.0438662;0.346522;0.5393;-0.0619013;0.361069;0.522005;-0.07038;0.377441;0.50164;-0.0796131;0.329005;0.475051;-0.036627;0.334024;0.425221;-0.0449799;0.339078;0.394195;-0.0492193;0.341302;0.369228;-0.0495067;0.311699;0.475208;-0.0142269;0.306314;0.430047;-0.0155023;0.305907;0.403592;-0.01711;0.305738;0.382711;-0.0202266;0.298758;0.483668;0.0047378;0.292103;0.455913;-0.00352529;0.293739;0.452422;-0.0139395;0.293983;0.454556;-0.0213044;0.29062;0.495638;0.0211607;0.288354;0.479905;0.0163825;0.289785;0.484036;0.00802059;0.288884;0.490524;0.00117098
0.420814;0.316307;0.251524;0.632832;1.31514e-05;0.287551;0.616598;0.00142876;0.307898;0.601013;0.00108446;0.321671;0.586661;0.00047445;0.332843;0.569896;0.00134939;0.322885;0.582791;-0.00970651;0.344504;0.56682;-0.0158916;0.353627;0.549489;-0.0216891;0.359342;0.530806;-0.025928;0.316518;0.579995;-0.0147536;0.340826;0.563551;-0.0225963;0.350844;0.546427;-0.0291278;0.358733;0.529532;-0.0380673;0.308235;0.579619;-0.0203037;0.330212;0.566338;-0.0263074;0.340584;0.5529;-0.0351315;0.347101;0.541267;-0.0458853;0.296995;0.580658;-0.0254992;0.313244;0.570858;-0.0280227;0.322033;0.56039;-0.0334821;0.328232;0.552536;-0.041564;0.300576;0.559316;1.35912e-05;0.335439;0.534414;-0.044557;0.353432;0.49306;-0.0811816;0.361967;0.464549;-0.112268;0.372382;0.435264;-0.146499;0.335345;0.456073;-0.101191;0.342018;0.426819;-0.14707;0.345545;0.413361;-0.166794;0.344135;0.406193;-0.173083;0.321074;0.465504;-0.103835;0.319478;0.430989;-0.155217;0.320779;0.415342;-0.188661;0.323581;0.399234;-0.212959;0.308412;0.489539;-0.106622;0.304014;0.470409;-0.164793;0.296324;0.465243;-0.199238;0.290548;0.458192;-0.21839;0.296048;0.5223;-0.108409;0.296449;0.524565;-0.150215;0.290912;0.53593;-0.173797;0.285136;0.543174;-0.18809
0.414752;0.3189;0.258872;0.646093;1.56098e-05;0.289479;0.629046;0.00821565;0.30468;0.611236;-0.00102696;0.31457;0.600255;-0.01156;0.321438;0.586069;-0.0256227;0.306327;0.57934;-0.0476403;0.321937;0.549079;-0.0654272;0.333124;0.526191;-0.0725182;0.345049;0.505902;-0.0766297;0.301739;0.580899;-0.0622095;0.317305;0.543683;-0.0853891;0.330931;0.518374;-0.0953402;0.345903;0.498593;-0.106424;0.295147;0.586385;-0.072399;0.311741;0.550939;-0.0937314;0.325657;0.528592;-0.100703;0.340915;0.513785;-0.108152;0.287705;0.594046;-0.0805029;0.300861;0.567704;-0.0986771;0.311508;0.547856;-0.107437;0.32215;0.534852;-0.115719;0.28438;0.546414;1.79114e-05;0.326557;0.527107;0.00397434;0.351997;0.496494;-0.0015354;0.370134;0.472542;-0.00665906;0.387265;0.45109;-0.0133818;0.342743;0.459121;-0.0183572;0.361394;0.438935;-0.028308;0.371888;0.424489;-0.0380199;0.377082;0.414507;-0.0465855;0.327894;0.459685;-0.0273208;0.344581;0.432789;-0.0379881;0.354783;0.418222;-0.0449934;0.361976;0.409277;-0.0485916;0.312229;0.464463;-0.0352496;0.325845;0.436088;-0.0502793;0.334399;0.422193;-0.0639397;0.339475;0.413407;-0.0722824;0.295616;0.472406;-0.0419684;0.302769;0.449829;-0.0567751;0.308086;0.437017;-0.0689708;0.312988;0.425529;-0.0792241
0.419082;0.32619;0.292926;0.528041;9.59341e-06;0.309704;0.493068;0.0073643;0.325086;0.469353;0.00251946;0.334499;0.453564;-0.00363063;0.341549;0.436995;-0.0108953;0.337625;0.46521;-0.0364093;0.349906;0.439344;-0.0525943;0.358263;0.415679;-0.0656742;0.365478;0.392701;-0.0770504;0.333251;0.470611;-0.0500937;0.34923;0.440575;-0.0780946;0.357671;0.414228;-0.0948566;0.365007;0.389963;-0.108761;0.325483;0.477273;-0.0605631;0.34237;0.452154;-0.085239;0.350931;0.429449;-0.0985388;0.357471;0.40917;-0.110629;0.314633;0.486045;-0.0689716;0.324724;0.471643;-0.0900753;0.331561;0.456649;-0.103595;0.337856;0.442937;-0.115631
0.414516;0.323678;0.291328;0.505281;9.18007e-06;0.315012;0.500742;0.000715421;0.324409;0.490769;-0.0038289;0.330371;0.485231;-0.00829195;0.335737;0.478406;-0.00965085;0.324701;0.459279;-0.0117345;0.334524;0.442718;-0.0228508;0.340688;0.427627;-0.027583;0.346563;0.41141;-0.0290964;0.322211;0.455231;-0.017671;0.334711;0.44171;-0.0301836;0.343212;0.428471;-0.0383689;0.351777;0.413797;-0.0462133;0.31911;0.455625;-0.0231493;0.329506;0.449106;-0.0317396;0.331872;0.453064;-0.0303754;0.333538;0.453874;-0.0306738;0.316285;0.460316;-0.0289472;0.325581;0.451765;-0.0368768;0.329634;0.443821;-0.0421632;0.332089;0.436511;-0.0467675;0.30624;0.384108;1.64931e-05;0.345336;0.366618;-0.00351769;0.366437;0.322369;-0.0158559;0.376057;0.282629;-0.027299;0.382003;0.252939;-0.0376691;0.339767;0.271689;-0.0286831;0.342395;0.211891;-0.0371476;0.348382;0.170798;-0.0508673;0.355903;0.143923;-0.0682376;0.32373;0.278196;-0.0320328;0.361409;0.275478;-0.0381906;0.37356;0.308092;-0.0370673;0.373587;0.332721;-0.0424429;0.315552;0.296623;-0.0359842;0.349939;0.300136;-0.0387121;0.356148;0.328087;-0.0368868;0.352274;0.349903;-0.0434057;0.312004;0.317626;-0.040738;0.335929;0.321149;-0.0461336;0.3428;0.341103;-0.0495836;0.34156;0.356074;-0.057326
0.411691;0.316517;0.291772;0.491645;6.52734e-06;0.300247;0.481042;0.00432741;0.304978;0.47102;0.00493852;0.312923;0.464459;0.0029486;0.318485;0.458597;0.000874649;0.311114;0.453683;0.0142999;0.320727;0.448985;0.0107861;0.31814;0.450262;0.0101979;0.314375;0.449758;0.011993;0.312806;0.457995;0.00962495;0.322085;0.452966;0.00486977;0.320368;0.454025;0.00127664;0.317143;0.453017;-0.000478383;0.313641;0.463773;0.00387672;0.32331;0.459646;-0.00131293;0.318374;0.463445;-0.00500345;0.311303;0.465414;-0.00727983;0.313956;0.469821;-0.00125946;0.320935;0.466475;-0.0034413;0.317807;0.467191;-0.00821177;0.312614;0.467388;-0.0113437;0.310282;0.375674;1.97948e-05;0.344654;0.351712;0.0261574;0.364112;0.312359;0.0130683;0.376224;0.277183;-0.00938479;0.381144;0.250427;-0.0351593;0.328997;0.248111;-0.00859841;0.333417;0.189318;-0.0245846;0.340827;0.145779;-0.0389877;0.345117;0.11188;-0.0532667;0.318822;0.254253;-0.0358008;0.37109;0.239309;-0.0497901;0.38439;0.272279;-0.0390084;0.377466;0.295903;-0.031869;0.317096;0.27061;-0.062041;0.369353;0.263675;-0.0719328;0.377017;0.295388;-0.0573641;0.367287;0.315793;-0.0547981;0.321546;0.292592;-0.087412;0.357213;0.284545;-0.0865015;0.366504;0.301871;-0.0785135;0.361761;0.31685;-0.0834387
