face_x;face_y;landmark_x_1;landmark_y_1;landmark_x_2;landmark_y_2;landmark_x_3;landmark_y_3;landmark_x_4;landmark_y_4;landmark_x_5;landmark_y_5;landmark_x_6;landmark_y_6;landmark_x_7;landmark_y_7;landmark_x_8;landmark_y_8;landmark_x_9;landmark_y_9;landmark_x_10;landmark_y_10;landmark_x_11;landmark_y_11;landmark_x_12;landmark_y_12;landmark_x_13;landmark_y_13;landmark_x_14;landmark_y_14;landmark_x_15;landmark_y_15;landmark_x_16;landmark_y_16;landmark_x_17;landmark_y_17;landmark_x_18;landmark_y_18;landmark_x_19;landmark_y_19;landmark_x_20;landmark_y_20;landmark_x_21;landmark_y_21;landmark_x_22;landmark_y_22;landmark_x_23;landmark_y_23;landmark_x_24;landmark_y_24;landmark_x_25;landmark_y_25;landmark_x_26;landmark_y_26;landmark_x_27;landmark_y_27;landmark_x_28;landmark_y_28;landmark_x_29;landmark_y_29;landmark_x_30;landmark_y_30;landmark_x_31;landmark_y_31;landmark_x_32;landmark_y_32;landmark_x_33;landmark_y_33;landmark_x_34;landmark_y_34;landmark_x_35;landmark_y_35;landmark_x_36;landmark_y_36;landmark_x_37;landmark_y_37;landmark_x_38;landmark_y_38;landmark_x_39;landmark_y_39;landmark_x_40;landmark_y_40;landmark_x_41;landmark_y_41;landmark_x_42;landmark_y_42
0.459505;0.334455;0.282049;0.920533;0.324936;0.934333;0.360361;0.932964;0.368353;0.939441;0.372718;0.960607;0.346015;0.8771;0.377718;0.904108;0.391279;0.956272;0.396808;1.0053;0.30874;0.879166;0.336223;0.911595;0.348853;0.975266;0.356602;1.02829;0.272986;0.896644;0.293773;0.942253;0.305987;1.01574;0.316812;1.07443;0.243535;0.918821;0.246773;0.974711;0.250294;1.029;0.257465;1.07017
0.460985;0.33532;0.252198;0.910725;0.31134;0.93478;0.367773;0.923638;0.401727;0.923466;0.433858;0.938908;0.361331;0.833763;0.387491;0.856334;0.401778;0.915798;0.41049;0.966174;0.322348;0.828089;0.355327;0.889853;0.375478;0.97118;0.389999;1.02911;0.278387;0.844537;0.302602;0.923873;0.314658;0.995855;0.32184;1.04315;0.236156;0.875858;0.248198;0.935352;0.259036;0.984385;0.267621;1.0183
0.461769;0.335406;0.275884;0.881839;0.330129;0.90376;0.378796;0.891362;0.414345;0.891918;0.432869;0.902723;0.361549;0.795765;0.392445;0.82213;0.398794;0.880015;0.401711;0.916109;0.323598;0.783697;0.346867;0.831648;0.357541;0.892598;0.367328;0.926441;0.284906;0.79675;0.303182;0.842444;0.314338;0.89866;0.323351;0.92653;0.253106;0.822363;0.255099;0.858511;0.26346;0.892977;0.274491;0.911779
0.464429;0.334515;0.2697;0.859165;0.331806;0.862192;0.377331;0.855726;0.409028;0.862788;0.4362;0.880148;0.354252;0.779598;0.37128;0.774639;0.381173;0.825784;0.38863;0.877367;0.306928;0.777312;0.316584;0.755931;0.329154;0.794139;0.341064;0.831875;0.263758;0.793978;0.263025;0.765987;0.270896;0.799204;0.281645;0.83239;0.228772;0.820447;0.214476;0.812654;0.213487;0.835044;0.220433;0.858305;0.785782;0.855562;0.726179;0.836741;0.673036;0.840831;0.636384;0.852612;0.616191;0.877036;0.663991;0.805393;0.621268;0.868665;0.600693;0.940828;0.589758;0.998956;0.699433;0.808729;0.657356;0.888483;0.63428;0.966205;0.622409;1.02708;0.73411;0.822936;0.695287;0.891901;0.672797;0.97113;0.65708;1.02716;0.767758;0.844995;0.742274;0.89391;0.724743;0.946522;0.708279;0.986804
0.465108;0.334139;0.260041;0.820775;0.327645;0.828428;0.37843;0.825388;0.417115;0.829376;0.443132;0.833829;0.343206;0.748866;0.368987;0.726798;0.38307;0.759156;0.387725;0.804246;0.299126;0.744903;0.316143;0.704101;0.32774;0.727249;0.332699;0.761603;0.257225;0.759926;0.259502;0.720632;0.266346;0.73528;0.272654;0.756793;0.219837;0.786584;0.200293;0.765835;0.190596;0.770675;0.188184;0.779391;0.735102;0.840706;0.77404;0.856702;0.782993;0.858858;0.773118;0.863696;0.754396;0.872935;0.743457;0.790785;0.733054;0.831474;0.726094;0.874641;0.72029;0.909368;0.696628;0.790029;0.666385;0.825903;0.646308;0.880804;0.629975;0.924852;0.65884;0.80183;0.617938;0.832992;0.599736;0.88608;0.589986;0.930473;0.628528;0.819367;0.593681;0.849883;0.574741;0.892;0.561395;0.928781
0.464904;0.333879;0.258674;0.793897;0.325601;0.795566;0.380331;0.786815;0.416454;0.785114;0.439584;0.787345;0.344322;0.717726;0.367754;0.671695;0.376086;0.696012;0.381857;0.73238;0.299707;0.713046;0.305621;0.654464;0.312061;0.671737;0.318753;0.704215;0.256932;0.726438;0.247607;0.665132;0.251602;0.682568;0.260005;0.71471;0.219269;0.752279;0.192907;0.715088;0.188615;0.734471;0.195297;0.763986;0.739816;0.814895;0.671738;0.827775;0.626553;0.82367;0.588187;0.847039;0.551919;0.88306;0.673087;0.800307;0.63633;0.782022;0.624393;0.794683;0.616278;0.815266;0.719384;0.794975;0.698379;0.771035;0.696906;0.789078;0.690727;0.812203;0.764724;0.80219;0.761818;0.774767;0.764576;0.776934;0.759827;0.786318;0.804192;0.814407;0.811139;0.805367;0.819905;0.801981;0.819909;0.802713
0.46447;0.331185;0.249617;0.757047;0.321358;0.755789;0.378131;0.752901;0.417481;0.75186;0.439257;0.753464;0.342986;0.664961;0.367076;0.615956;0.377811;0.629539;0.381898;0.663685;0.299291;0.661237;0.30058;0.600013;0.311214;0.620292;0.321432;0.659042;0.256433;0.680969;0.237482;0.633025;0.247713;0.661596;0.262179;0.700866;0.219135;0.712869;0.186164;0.693841;0.186969;0.7184;0.197597;0.747543;0.770485;0.825138;0.681458;0.822272;0.627183;0.812467;0.577819;0.820924;0.533988;0.84012;0.66202;0.776334;0.640029;0.747416;0.639914;0.750891;0.645512;0.764715;0.702949;0.773162;0.693716;0.737114;0.705521;0.740276;0.716387;0.755165;0.744127;0.779114;0.744106;0.743409;0.756037;0.733109;0.763398;0.73516;0.782512;0.787081;0.790538;0.765403;0.800991;0.752477;0.80803;0.7482
0.460143;0.332269;0.245291;0.74722;0.317306;0.738377;0.377919;0.721637;0.421212;0.708468;0.442605;0.703404;0.335671;0.63239;0.351194;0.569029;0.364668;0.583297;0.377908;0.612084;0.294682;0.632097;0.288016;0.571245;0.30748;0.597319;0.326499;0.63377;0.253537;0.652298;0.235018;0.60218;0.255236;0.631947;0.276954;0.66752;0.214612;0.684719;0.184727;0.657222;0.196695;0.678461;0.214476;0.704645;0.76347;0.782047;0.683582;0.795638;0.631532;0.79767;0.58442;0.812144;0.54453;0.831439;0.654037;0.731018;0.618259;0.704002;0.613231;0.711927;0.615643;0.733472;0.693308;0.720736;0.673138;0.690929;0.680861;0.703263;0.689481;0.730875;0.737544;0.726737;0.731271;0.702182;0.73627;0.701544;0.737759;0.716596;0.781128;0.741229;0.788531;0.722759;0.796252;0.716153;0.797132;0.722449
0.458429;0.332791;0.241251;0.724518;0.313974;0.711693;0.376188;0.691428;0.421818;0.679787;0.445499;0.677389;0.325076;0.605073;0.338375;0.553704;0.347831;0.570101;0.357354;0.591071;0.283525;0.598492;0.28336;0.558236;0.297449;0.59076;0.307733;0.624206;0.243156;0.610373;0.232021;0.57851;0.248314;0.611473;0.261489;0.645717;0.205002;0.633063;0.184772;0.613913;0.194071;0.639791;0.204599;0.667026;0.763912;0.750754;0.682688;0.766802;0.632014;0.764168;0.586483;0.776654;0.541659;0.807153;0.654602;0.688901;0.609993;0.67355;0.587667;0.696268;0.575258;0.728373;0.697676;0.68062;0.669557;0.651348;0.652394;0.678848;0.640501;0.715655;0.744611;0.692313;0.73834;0.659817;0.724906;0.669043;0.71066;0.685814;0.790429;0.717215;0.799261;0.699893;0.79625;0.705283;0.787546;0.718109
0.45611;0.329493;0.240212;0.695057;0.309334;0.687699;0.371355;0.667687;0.421082;0.652892;0.446761;0.645465;0.316952;0.591741;0.333515;0.549476;0.345871;0.566658;0.354338;0.590718;0.273961;0.584262;0.27779;0.533165;0.29037;0.556211;0.301461;0.591923;0.233876;0.594514;0.221323;0.548052;0.232081;0.572467;0.245593;0.609689;0.197154;0.618132;0.172478;0.593808;0.173528;0.616642;0.183717;0.648036;0.78481;0.726904;0.694334;0.732721;0.631664;0.721048;0.582122;0.729926;0.535845;0.760414;0.66178;0.639003;0.61037;0.630574;0.583989;0.656934;0.560515;0.690012;0.706548;0.634989;0.673021;0.615337;0.650178;0.646319;0.624521;0.677945;0.754124;0.651947;0.739413;0.645624;0.725291;0.667867;0.708153;0.682376;0.799745;0.681852;0.796516;0.682263;0.792512;0.697163;0.784009;0.705028
