face_x;face_y;landmark_x_1;landmark_y_1;landmark_z_1;landmark_x_2;landmark_y_2;landmark_z_2;landmark_x_3;landmark_y_3;landmark_z_3;landmark_x_4;landmark_y_4;landmark_z_4;landmark_x_5;landmark_y_5;landmark_z_5;landmark_x_6;landmark_y_6;landmark_z_6;landmark_x_7;landmark_y_7;landmark_z_7;landmark_x_8;landmark_y_8;landmark_z_8;landmark_x_9;landmark_y_9;landmark_z_9;landmark_x_10;landmark_y_10;landmark_z_10;landmark_x_11;landmark_y_11;landmark_z_11;landmark_x_12;landmark_y_12;landmark_z_12;landmark_x_13;landmark_y_13;landmark_z_13;landmark_x_14;landmark_y_14;landmark_z_14;landmark_x_15;landmark_y_15;landmark_z_15;landmark_x_16;landmark_y_16;landmark_z_16;landmark_x_17;landmark_y_17;landmark_z_17;landmark_x_18;landmark_y_18;landmark_z_18;landmark_x_19;landmark_y_19;landmark_z_19;landmark_x_20;landmark_y_20;landmark_z_20;landmark_x_21;landmark_y_21;landmark_z_21;landmark_x_22;landmark_y_22;landmark_z_22;landmark_x_23;landmark_y_23;landmark_z_23;landmark_x_24;landmark_y_24;landmark_z_24;landmark_x_25;landmark_y_25;landmark_z_25;landmark_x_26;landmark_y_26;landmark_z_26;landmark_x_27;landmark_y_27;landmark_z_27;landmark_x_28;landmark_y_28;landmark_z_28;landmark_x_29;landmark_y_29;landmark_z_29;landmark_x_30;landmark_y_30;landmark_z_30;landmark_x_31;landmark_y_31;landmark_z_31;landmark_x_32;landmark_y_32;landmark_z_32;landmark_x_33;landmark_y_33;landmark_z_33;landmark_x_34;landmark_y_34;landmark_z_34;landmark_x_35;landmark_y_35;landmark_z_35;landmark_x_36;landmark_y_36;landmark_z_36;landmark_x_37;landmark_y_37;landmark_z_37;landmark_x_38;landmark_y_38;landmark_z_38;landmark_x_39;landmark_y_39;landmark_z_39;landmark_x_40;landmark_y_40;landmark_z_40;landmark_x_41;landmark_y_41;landmark_z_41;landmark_x_42;landmark_y_42;landmark_z_42
0.470422;0.164375;0.747671;0.882321;1.39448e-05;0.731649;0.884994;-0.0246294;0.724031;0.902226;-0.0372236;0.720733;0.926349;-0.0444578;0.721947;0.946774;-0.0542241;0.747584;0.951685;-0.0392952;0.732893;0.970768;-0.0481736;0.728672;0.968657;-0.0552435;0.726874;0.966295;-0.05988;0.755294;0.962368;-0.0275231;0.741277;0.981228;-0.0305319;0.734379;0.976853;-0.0365988;0.731096;0.973645;-0.0438002;0.760209;0.968356;-0.0158825;0.74755;0.985395;-0.0198285;0.739635;0.972169;-0.0282958;0.73635;0.960901;-0.03627;0.767381;0.972494;-0.00607514;0.759587;0.989504;-0.0112953;0.753783;0.980155;-0.017987;0.749815;0.970888;-0.0230017
0.455779;0.184414;0.753615;0.790176;1.75996e-05;0.737786;0.83459;-0.00902793;0.733511;0.870601;-0.0295398;0.728961;0.895373;-0.0490523;0.725851;0.91209;-0.0719525;0.76377;0.908529;-0.0444113;0.777051;0.944076;-0.0539644;0.768262;0.942149;-0.0595878;0.758835;0.933594;-0.0627382;0.778487;0.894871;-0.0486797;0.788856;0.929098;-0.0575552;0.775986;0.922965;-0.0648385;0.767236;0.913635;-0.0764918;0.788673;0.87463;-0.0508139;0.798448;0.903789;-0.05515;0.785126;0.899149;-0.0590796;0.7756;0.891732;-0.0679551;0.797302;0.850856;-0.0532868;0.805073;0.876649;-0.0577923;0.793819;0.878709;-0.0622978;0.783548;0.877138;-0.0701909
0.453276;0.189227;0.765506;0.872733;1.35447e-05;0.772835;0.820662;0.0236827;0.76962;0.792767;0.0288492;0.764091;0.778903;0.0282771;0.758135;0.776365;0.0246363;0.773166;0.826154;0.0210821;0.75659;0.805647;0.0209434;0.749811;0.798012;0.00701292;0.747558;0.79026;-0.00336343;0.766639;0.860415;0.0110178;0.7495;0.845319;0.013315;0.739758;0.831923;-0.00141732;0.736067;0.824011;-0.013237;0.756248;0.89083;0.00503214;0.736929;0.876916;0.0151441;0.726313;0.862765;-0.00281514;0.723057;0.851164;-0.0160456;0.746506;0.91646;0.001491;0.729102;0.901736;0.0115986;0.722005;0.889682;0.00196453;0.720742;0.880141;-0.0076544;0.271857;0.818662;1.75365e-05;0.233656;0.796257;-0.0217054;0.204606;0.800248;-0.0551048;0.184844;0.810164;-0.0838232;0.169773;0.81531;-0.118672;0.203225;0.849648;-0.0890205;0.19256;0.87387;-0.118872;0.196871;0.872062;-0.132665;0.200368;0.864572;-0.141793;0.221197;0.872781;-0.0895536;0.218191;0.888653;-0.117406;0.227728;0.876604;-0.127534;0.229079;0.863494;-0.14126;0.243621;0.885392;-0.0866218;0.245528;0.894587;-0.102547;0.254253;0.878798;-0.101547;0.253606;0.865053;-0.108011;0.267187;0.892032;-0.0848893;0.268446;0.901774;-0.100281;0.273693;0.887816;-0.108477;0.273594;0.872862;-0.118539
0.459303;0.187347;0.754719;0.909911;9.04947e-06;0.725785;0.899585;-0.051323;0.712092;0.864393;-0.0815094;0.713371;0.825631;-0.0961377;0.713606;0.787054;-0.109092;0.740589;0.846212;-0.10184;0.732523;0.785417;-0.12682;0.721973;0.744733;-0.140828;0.712399;0.713243;-0.147771;0.755494;0.8322;-0.0781002;0.743999;0.771954;-0.107667;0.730308;0.732565;-0.122171;0.717871;0.699997;-0.135374;0.763987;0.819366;-0.0524387;0.750821;0.765849;-0.07122;0.738313;0.734919;-0.0815714;0.728673;0.712703;-0.0926046;0.769283;0.808356;-0.0292411;0.755651;0.772178;-0.039484;0.745384;0.75245;-0.047263;0.737361;0.739692;-0.055507;0.27118;0.835626;1.80525e-05;0.245766;0.813474;-0.0241597;0.220479;0.797162;-0.0530872;0.203864;0.785039;-0.0728834;0.194336;0.77058;-0.0972522;0.211392;0.844322;-0.0968061;0.200474;0.823608;-0.124019;0.199682;0.804;-0.136175;0.20203;0.786631;-0.14744;0.223134;0.871803;-0.0932929;0.220405;0.846272;-0.110747;0.225307;0.822476;-0.110468;0.229023;0.80777;-0.121231;0.239862;0.891351;-0.0865455;0.239481;0.871789;-0.0916758;0.242949;0.853804;-0.0792962;0.245741;0.843753;-0.0829209;0.257901;0.905491;-0.0815268;0.255816;0.893475;-0.0873262;0.259309;0.878765;-0.0832554;0.263115;0.867031;-0.0871032
0.457297;0.192829;0.7535;0.899575;1.21559e-05;0.717072;0.883225;-0.0411892;0.69745;0.84051;-0.0675775;0.695553;0.794236;-0.0799115;0.694007;0.751573;-0.0915964;0.733141;0.841363;-0.0978932;0.725386;0.781476;-0.126197;0.712433;0.735884;-0.140608;0.700664;0.699038;-0.145542;0.752837;0.827789;-0.0791974;0.743136;0.765728;-0.112954;0.723879;0.718314;-0.131909;0.706798;0.680046;-0.144892;0.764145;0.816686;-0.0571585;0.75129;0.760824;-0.0786781;0.735671;0.723304;-0.0926999;0.724407;0.694831;-0.103411;0.76976;0.807552;-0.0358336;0.758538;0.768349;-0.0488817;0.747568;0.743065;-0.0578725;0.740102;0.724796;-0.0643966;0.273601;0.812945;1.17936e-05;0.284505;0.867186;-0.0169888;0.276508;0.895592;-0.0266773;0.259781;0.907397;-0.0308295;0.249091;0.907536;-0.0315351;0.251118;0.886928;-0.0506949;0.245333;0.892265;-0.0624188;0.251168;0.883281;-0.0599764;0.258055;0.874778;-0.0639386;0.237474;0.860238;-0.0460271;0.229501;0.858843;-0.0494737;0.237117;0.846545;-0.0462442;0.242603;0.837676;-0.0520519;0.227715;0.831058;-0.0413593;0.21748;0.8284;-0.0395138;0.223677;0.816096;-0.0299068;0.228336;0.805749;-0.0290655;0.221402;0.803039;-0.0395681;0.208211;0.794903;-0.0535988;0.207778;0.783973;-0.0618218;0.209837;0.773998;-0.0688235
0.451185;0.196176;0.750116;0.892875;1.05935e-05;0.710772;0.879433;-0.0387016;0.689736;0.838194;-0.067462;0.68636;0.793788;-0.0809044;0.682952;0.756296;-0.0935965;0.726553;0.84072;-0.121107;0.720411;0.775372;-0.153056;0.712481;0.731074;-0.163685;0.70633;0.696468;-0.16506;0.752531;0.828565;-0.10285;0.743821;0.761566;-0.139176;0.727353;0.718009;-0.147429;0.715692;0.686;-0.15218;0.769225;0.817281;-0.0793413;0.757786;0.757407;-0.0985983;0.741148;0.723659;-0.09616;0.731967;0.70135;-0.0956598;0.77862;0.806356;-0.0568019;0.767092;0.76487;-0.064711;0.753703;0.742552;-0.0621163;0.745332;0.728211;-0.0602094;0.262801;0.808335;1.03956e-05;0.278507;0.854073;0.0331773;0.276231;0.880527;0.0632117;0.265812;0.891361;0.0864282;0.257565;0.896629;0.110506;0.246326;0.880858;0.078926;0.244832;0.885682;0.105336;0.245371;0.883545;0.122368;0.247747;0.8755;0.13646;0.236896;0.865053;0.070055;0.240436;0.861064;0.103612;0.248355;0.85276;0.110101;0.254157;0.844189;0.116792;0.23268;0.847218;0.0621979;0.241243;0.840741;0.0875941;0.249785;0.833977;0.0816126;0.254335;0.826202;0.0793315;0.230574;0.828711;0.056115;0.230277;0.822004;0.0758338;0.237906;0.812666;0.0755803;0.245092;0.802653;0.076949
0.450619;0.192098;0.749784;0.887489;1.13339e-05;0.722709;0.868101;-0.0375114;0.708944;0.830416;-0.0692846;0.708507;0.795201;-0.0886355;0.707614;0.771515;-0.10878;0.733658;0.828267;-0.107742;0.725882;0.769207;-0.139058;0.71769;0.726851;-0.154807;0.711393;0.691896;-0.162865;0.748701;0.826922;-0.0930306;0.738238;0.768619;-0.128314;0.725364;0.722151;-0.142598;0.715262;0.684433;-0.152854;0.757787;0.824587;-0.0736187;0.745658;0.770655;-0.0943736;0.733991;0.733636;-0.0995623;0.727783;0.704586;-0.1053;0.762774;0.820713;-0.0554888;0.755605;0.781241;-0.0658051;0.747831;0.753923;-0.0698951;0.743272;0.732274;-0.0737408
0.442382;0.205346;0.744425;0.865214;9.21946e-06;0.714842;0.850895;-0.00131568;0.701228;0.823364;-0.00143954;0.69728;0.797021;-0.000250874;0.693845;0.777716;-0.00372607;0.730714;0.82829;-0.0150248;0.723657;0.787315;-0.019926;0.715847;0.75593;-0.0213856;0.710689;0.734453;-0.0192832;0.751591;0.827602;-0.00940725;0.742523;0.785762;-0.0113757;0.73143;0.753894;-0.0145561;0.723019;0.73468;-0.015681;0.765366;0.828499;-0.00126462;0.758672;0.789997;0.000490867;0.7501;0.763928;-0.00142448;0.74445;0.750124;-0.00152407;0.774214;0.828597;0.00696337;0.774827;0.798445;0.0101438;0.769659;0.779777;0.0101906;0.764778;0.769937;0.0123399;0.728445;0.549142;1.80971e-05;0.747415;0.506321;0.0185315;0.746538;0.460218;0.00862932;0.732495;0.425907;-0.00235621;0.719824;0.407449;-0.0150085;0.754309;0.447524;-0.0476393;0.724339;0.402198;-0.0546094;0.704607;0.3798;-0.0508516;0.689929;0.362625;-0.0484575;0.739773;0.46239;-0.0621857;0.706233;0.410389;-0.0787321;0.684626;0.381504;-0.0783079;0.667729;0.359133;-0.0790958;0.721216;0.480933;-0.0705498;0.692882;0.429242;-0.0789746;0.674478;0.399098;-0.0680042;0.659954;0.375967;-0.0617311;0.701003;0.498877;-0.0756411;0.681941;0.457191;-0.0814596;0.67089;0.431253;-0.0783079;0.660762;0.408207;-0.0773987
0.441257;0.213599;0.744235;0.81833;1.40866e-05;0.749407;0.82914;0.0211463;0.752575;0.832493;0.0404041;0.750589;0.833874;0.0546176;0.748615;0.832372;0.0633146;0.75948;0.825741;0.068682;0.753113;0.838309;0.0996435;0.746681;0.840119;0.112913;0.742828;0.840375;0.119473;0.748028;0.830815;0.0667935;0.737541;0.836517;0.0940774;0.734039;0.829025;0.102278;0.734214;0.818569;0.111819;0.734302;0.833374;0.0656007;0.72369;0.835461;0.0879149;0.722282;0.82304;0.0759378;0.722922;0.813298;0.068682;0.721431;0.832836;0.0658492;0.717228;0.827102;0.0860264;0.719552;0.817506;0.0865731;0.722114;0.810751;0.0884119;0.724963;0.544819;1.99484e-05;0.740429;0.486824;0.0259726;0.740035;0.440946;0.025178;0.728447;0.405032;0.0214866;0.713674;0.379962;0.0171661;0.746998;0.430411;-0.0245987;0.722904;0.385876;-0.0294323;0.703149;0.359784;-0.0271314;0.686354;0.338119;-0.0244828;0.731228;0.441785;-0.0396624;0.703191;0.390711;-0.0485021;0.683248;0.359032;-0.0505216;0.666431;0.334419;-0.0536006;0.712027;0.455763;-0.0493298;0.686373;0.40588;-0.0551897;0.66946;0.374251;-0.0498926;0.657299;0.350694;-0.0467474;0.690998;0.469756;-0.0553222;0.675227;0.42885;-0.059593;0.665313;0.40091;-0.0590302;0.657582;0.376941;-0.0586991
0.441287;0.207304;0.720854;0.533312;2.04583e-05;0.736688;0.475022;0.0356675;0.731686;0.432647;0.0472344;0.715812;0.400307;0.0526776;0.699695;0.377992;0.0585864;0.73842;0.409586;0.00216543;0.718904;0.365702;0.00162939;0.701961;0.34379;0.00863487;0.686981;0.327153;0.017404;0.721969;0.414285;-0.0153628;0.702235;0.366904;-0.0154971;0.685561;0.342078;-0.0108596;0.671026;0.324631;-0.00738149;0.70316;0.424452;-0.0285412;0.68284;0.37946;-0.0267327;0.67009;0.355421;-0.0176726;0.660868;0.338542;-0.00871097;0.68374;0.437495;-0.0389979;0.669408;0.398782;-0.0388547;0.662585;0.375662;-0.0373506;0.658022;0.356543;-0.0343962
